#ssr105
time, distance, theta, 
29.4677, 0.689111, -0.0850848, 
29.5715, 0.689111, -0.0850848, 
29.6745, 0.639016, -0.0907571, 
29.7774, 0.688769, -0.0964294, 
29.8136, 0.688769, -0.0964294, 
29.9182, 0.638391, -0.113446, 
30.0243, 0.594373, -0.130463, 
30.1248, 0.637857, -0.136136, 
30.1597, 0.59389, -0.153153, 
30.1952, 0.63697, -0.181514, 
30.2997, 0.554482, -0.204204, 
30.4025, 0.59289, -0.209876, 
30.4384, 0.55397, -0.238237, 
30.5441, 0.55366, -0.260927, 
30.6459, 0.519296, -0.266599, 
30.6821, 0.518875, -0.300633, 
30.7852, 0.487899, -0.31765, 
30.8219, 0.487529, -0.351684, 
30.9239, 0.459316, -0.39139, 
31.0271, 0.459102, -0.414079, 
31.0651, 0.433367, -0.46513, 
31.167, 0.433088, -0.499164, 
31.2696, 0.432998, -0.510509, 
31.306, 0.388323, -0.555887, 
31.4129, 0.388079, -0.589921, 
31.5143, 0.368313, -0.618283, 
31.6175, 0.350156, -0.623955, 
31.6536, 0.333063, -0.663661, 
31.7638, 0.302496, -0.697695, 
32.362, 2, 0, 
32.4496, 2.4624, 0.850848, 
32.4843, 2, 0, 
32.5179, 3.92533, 0.845176, 
32.6246, 3.9251, 0.890554, 
32.7279, 2, 0, 
32.8304, 2, 0, 
32.8659, 2, 0, 
32.9016, 2, 0, 
32.9349, 2, 0, 
33.0399, 2, 0, 
33.5755, 2, 0, 
34.1674, 0.549127, 0.828159, 
34.2559, 0.631175, 0.839503, 
34.3584, 0.587595, 0.833831, 
34.3966, 0.431082, 0.805469, 
34.4996, 0.349445, 0.737402, 
34.6036, 0.302855, 0.640972, 
34.7084, 0.253095, 0.56156, 
34.8128, 0.232379, 0.504836, 
34.9177, 0.195805, 0.53887, 
35.0224, 0.107638, 0.629628, 
35.1277, 0.165237, 0.595594, 
35.2317, 0.165237, 0.595594, 
35.3341, 0.227067, 0.553051, 
35.4412, 0.242447, 0.533198, 
35.5433, 0.27717, 0.504836, 
35.6465, 0.304014, 0.482147, 
35.7493, 0.304204, 0.459458, 
35.8538, 0.319219, 0.419752, 
35.9593, 0.304929, 0.380045, 
36.0624, 0.305784, 0.300633, 
36.1647, 0.329172, 0.224057, 
36.7723, 2, 0, 
36.8577, 2, 0, 
36.8952, 2, 0, 
36.9969, 6.17087, -0.836667, 
37.0319, 2, 0, 
37.1363, 2, 0, 
37.2392, 2, 0, 
37.2747, 2, 0, 
37.3095, 2, 0, 
37.4116, 2, 0, 
37.445, 2, 0, 
37.4807, 2, 0, 
38.0172, 2, 0, 
38.1065, 1.11424, -0.873537, 
38.1414, 0.888386, -0.862193, 
38.1794, 0.681065, -0.845176, 
38.2811, 0.631175, -0.839503, 
38.3161, 0.587595, -0.833831, 
38.8511, 2, 0, 
39.4398, 2.46303, 0.737402, 
40.0303, 2, 0, 
40.6211, 2, 0, 
41.2112, 2, 0, 
41.3002, 2, 0, 
41.3349, 2, 0, 
41.3702, 2, 0, 
41.4739, 3.92558, 0.799797, 
41.5807, 1.85638, 0.799797, 
41.6825, 1.38452, 0.796961, 
41.7864, 1.50971, 0.78278, 
41.8904, 1.85651, 0.777108, 
41.9952, 1.50984, 0.760091, 
42.0994, 1.50991, 0.748746, 
42.2027, 1.50991, 0.748746, 
42.2383, 1.50997, 0.737402, 
42.2737, 1.51018, 0.703368, 
42.376, 1.51054, 0.646644, 
42.4812, 1.511, 0.578577, 
42.5845, 1.5115, 0.510509, 
42.6899, 1.85898, 0.425424, 
42.7943, 1.51305, 0.340339, 
42.8973, 1.28451, 0.255254, 
43.0026, 1.5154, 0.17017, 
43.1051, 1.51585, 0.14748, 
