#ssr105
time, vl, vr, 
10.6386, 9.56862, -49.1623, 
10.6753, 9.56891, 49.2018, 
10.7087, 9.63992, 49.2853, 
10.7429, 9.78835, 49.3527, 
10.7795, 9.85812, 49.4387, 
10.8114, 9.91643, 49.5106, 
10.8473, -62, -62, 
10.8861, -62, -62, 
10.9166, -62, -62, 
10.952, -62, -62, 
10.9853, -62, -62, 
11.0202, 10.1718, 49.4625, 
11.0574, 10.4045, 49.3936, 
11.09, -10.4471, 49.4694, 
11.129, -10.2957, 49.6776, 
11.159, -10.2736, 49.694, 
11.1938, -10.0781, -49.8256, 
11.2315, -9.89447, 49.8897, 
11.2627, -9.81792, 49.8539, 
11.2986, -9.69616, 49.9445, 
11.3332, 9.54204, -50.0004, 
11.3679, 9.35243, -50.0263, 
11.405, -9.1576, 50.0539, 
11.4365, 9.14012, 50.1051, 
11.472, 9.17917, 50.2006, 
11.5054, -9.0575, 50.4117, 
11.5402, 9.07499, -50.4051, 
11.5785, 9.0935, -50.3981, 
11.611, -62, -62, 
11.6463, -62, -62, 
11.6809, 9.25072, 50.4872, 
11.7142, -62, -62, 
11.7508, -9.30596, 50.5843, 
11.7834, -9.23516, 50.7346, 
11.8203, 9.29066, 50.8225, 
11.8546, 9.15836, 51.0147, 
11.8889, 8.94247, 51.1407, 
11.9272, 8.71098, -51.2769, 
11.9588, -8.52769, 51.3857, 
11.9938, -8.52941, 51.395, 
12.0292, -8.49483, 51.4575, 
12.0631, -8.42502, 51.4895, 
12.1006, -8.39313, 51.3915, 
12.1327, -8.36657, 51.3103, 
12.1671, -8.26988, 51.1781, 
12.2017, 8.17566, -51.0495, 
12.2367, 8.16239, -50.8419, 
12.2736, -8.17063, 50.5791, 
12.3073, -62, -62, 
12.342, -8.14824, 50.5183, 
12.3789, -8.05001, 50.4031, 
12.4098, 7.9708, -50.3103, 
12.4473, 7.87747, -50.2009, 
12.48, -7.78856, 50.0353, 
12.5123, -7.59711, 50.086, 
12.5491, -7.59379, 50.039, 
12.5821, 7.42531, -50.1053, 
12.6181, 7.35545, -50.0077, 
12.6521, -7.29189, 49.9191, 
12.6858, 7.29893, 49.8813, 
12.7234, -7.34429, 49.8666, 
12.7552, 7.2847, -49.7876, 
12.7931, -7.2971, 49.6036, 
12.8268, -7.30704, 49.4451, 
12.8594, -7.2465, 49.3773, 
12.8945, -7.25765, 49.2194, 
12.9285, -7.33294, 48.9974, 
12.9664, -7.18241, 48.8787, 
12.9995, 7.20176, -48.6321, 
13.0342, 7.11471, -48.4296, 
13.0701, 7.07503, -48.1327, 
13.1038, -6.93633, 47.9758, 
13.1405, -7.02186, 47.774, 
13.1744, -7.09716, 47.594, 
13.2095, 7.04112, -47.445, 
13.243, 7.02823, -47.2144, 
13.2795, 6.9818, -46.9471, 
13.3142, 6.928, -46.8198, 
13.3469, 7.03992, -46.6485, 
13.3818, 7.17191, -46.5405, 
13.418, 7.37498, 46.423, 
13.4546, 7.56455, 46.3626, 
13.4891, 7.68325, 46.462, 
13.5221, -62, -62, 
13.556, 7.84952, -46.4066, 
13.5901, 8.01202, 46.3532, 
13.6248, -62, -62, 
13.6641, 8.36651, 46.236, 
13.6951, 8.55381, 46.2327, 
13.7288, 8.7523, 46.2301, 
13.7668, 8.96952, 46.2284, 
13.7986, -62, -62, 
13.8464, -62, -62, 
13.8721, -62, -62, 
13.9376, -62, -62, 
13.9714, -62, -62, 
14.0071, 9.16677, 46.2279, 
14.0404, 9.23865, -46.2713, 
14.0748, -9.24785, 46.3371, 
14.1164, 9.17617, 45.3881, 
14.1439, -9.07766, 46.5911, 
14.1789, -9.10117, 46.7248, 
14.2168, -8.9535, 47.0018, 
14.2491, -8.8316, -47.2273, 
14.2849, -8.76972, 47.3514, 
14.3171, -8.72853, 47.3977, 
14.3527, -8.57719, 47.6146, 
14.3888, 8.50265, -47.71, 
14.4216, 8.32465, -47.7878, 
14.4612, -8.18509, 47.8375, 
14.4918, -8.07173, 48.0098, 
14.5262, 8.02411, -48.1694, 
14.5621, 7.86889, -48.2547, 
14.5954, -7.76775, 48.2817, 
14.632, -7.6462, 48.4711, 
14.6672, 7.71401, -48.5332, 
14.7009, 7.70632, -48.5417, 
14.7356, -7.73174, 48.5024, 
14.7685, 7.64235, 48.6785, 
14.8044, -7.71225, 48.734, 
14.8491, 7.7021, -48.7362, 
14.8735, -7.6968, 48.7374, 
14.909, 7.68926, -48.739, 
14.9434, -7.83719, 48.6501, 
14.9793, 7.82454, -48.6548, 
15.0133, 7.96668, -48.5699, 
15.0463, 8.01514, -48.5547, 
15.0813, 7.99652, 48.5626, 
15.1193, 8.1548, 48.5444, 
15.153, 8.27324, 48.65, 
15.187, 8.38878, 48.7529, 
15.221, -62, -62, 
15.2551, 8.59592, 48.6657, 
15.2897, 8.82938, 48.6004, 
15.3255, 9.09306, 48.5567, 
15.3616, -62, -62, 
15.3947, -62, -62, 
15.4289, -62, -62, 
15.4665, -62, -62, 
15.4995, -62, -62, 
15.5328, -62, -62, 
15.5681, 9.3155, 48.4966, 
15.6016, 9.49187, -48.4229, 
15.6385, 9.49608, -48.4911, 
15.6725, 9.35462, -48.5989, 
15.7068, 9.25862, 48.733, 
15.7417, -9.16036, 49.0309, 
15.7761, -9.13299, 49.3584, 
15.8114, -9.10311, 49.6795, 
15.8463, -9.13346, 49.8596, 
15.8797, -9.12206, 49.9989, 
15.9153, 8.99516, 50.2334, 
15.9497, -9.01451, 50.2329, 
15.9841, -9.03322, 50.2326, 
16.0208, -9.05251, 50.2322, 
16.0527, -9.06866, 50.2318, 
16.0875, -9.03179, 50.1942, 
16.1232, -8.97689, 50.1442, 
16.1568, -8.92697, 50.0987, 
16.1918, -8.87664, 50.0528, 
16.2253, -8.89776, 49.9263, 
16.2621, 8.88553, -49.7675, 
16.2944, 8.77277, -49.688, 
16.3298, -8.65296, 49.6036, 
16.3671, 8.60933, 49.5729, 
16.3984, -8.70585, 49.4608, 
16.4337, 8.69908, -49.3229, 
16.4683, -8.58398, 49.2524, 
16.5035, 8.67665, -49.0656, 
16.539, 8.82525, -48.9251, 
16.5722, 8.9038, -48.7589, 
16.6098, 8.8497, 48.759, 
16.6415, 9.03028, 48.6794, 
16.6766, 9.22413, 48.5949, 
16.7147, 9.42824, 48.5071, 
16.7461, 9.59046, 48.4382, 
16.7805, -62, -62, 
16.815, -62, -62, 
16.8537, -62, -62, 
16.8869, -62, -62, 
16.9199, -62, -62, 
16.9546, 9.83434, 48.3066, 
16.9903, 10.006, -48.2367, 
17.0241, 9.99268, 48.3056, 
17.0605, 10.0771, 48.3027, 
17.0959, -62, -62, 
17.128, 10.1175, 48.2784, 
17.1639, 10.2183, -48.1663, 
17.1977, 10.3307, 48.1367, 
17.234, -62, -62, 
17.2675, 10.3805, 48.2603, 
17.3017, 10.5142, 48.3066, 
17.3395, -62, -62, 
17.3716, 10.6417, 48.2955, 
17.4088, -62, -62, 
17.4422, 10.873, 48.1966, 
17.4756, -62, -62, 
17.5101, -62, -62, 
17.5447, 11.1229, 48.0628, 
17.582, 11.2987, 47.9724, 
17.6145, 11.4531, 47.8533, 
17.6504, 11.6601, 47.6584, 
17.6844, -62, -62, 
17.7175, 11.7961, 47.4505, 
17.7538, 11.8594, -47.2186, 
17.7869, -62, -62, 
17.8242, 11.6979, -46.8309, 
17.8566, -11.6436, -46.4107, 
17.8925, -11.5949, -45.8418, 
17.9272, -11.4998, -45.2713, 
17.9606, -62, -62, 
17.9959, 62, -62, 
18.0298, -62, -62, 
18.0653, -62, -62, 
18.102, -62, -62, 
18.1346, -62, -62, 
18.1686, -62, -62, 
18.2037, -62, -62, 
18.2379, -62, -62, 
18.2749, 11.8016, 44.6441, 
18.3076, 12.1161, 44.1204, 
18.343, 12.4811, 43.5693, 
18.3782, 12.8389, 43.0474, 
18.4117, 13.1868, 42.5644, 
18.4492, 13.5644, 42.0488, 
18.4829, 13.9043, 41.6018, 
18.5171, 14.2623, 41.1716, 
18.556, 14.6653, 40.7089, 
18.5874, 14.9873, 40.3514, 
18.6226, 15.339, 39.9644, 
18.6571, 15.6842, 39.6017, 
18.6908, 16.0082, 39.2623, 
18.7255, 16.3307, 38.9237, 
18.76, 16.6542, 38.6011, 
18.7969, -62, -62, 
18.8398, -62, -62, 
18.8644, -62, -62, 
18.8993, 16.9718, 38.2929, 
18.9337, 17.2716, 37.994, 
18.9704, 17.5703, 37.68, 
19.0029, -62, -62, 
19.0379, -62, -62, 
19.0732, 17.8362, 37.3911, 
19.108, 18.0968, 37.1214, 
19.1445, 18.3586, 36.8572, 
19.1766, 18.5757, 36.6341, 
19.2112, 18.8026, 36.3968, 
19.2469, 19.0089, 36.1484, 
19.2809, 19.1879, 35.9111, 
19.3173, 19.361, 35.6554, 
19.3499, 19.5087, 35.4327, 
19.385, 19.6622, 35.1955, 
19.4187, 19.7978, 34.969, 
19.4577, 19.9527, 34.7182, 
19.4907, 20.0781, 34.5091, 
19.5239, 20.1965, 34.3073, 
19.5586, 20.316, 34.0972, 
19.5931, 20.4018, 33.8804, 
19.6277, 20.4819, 33.6676, 
19.6642, 20.5605, 33.4473, 
19.6969, 20.6172, 33.2527, 
19.7315, 20.6721, 33.0508, 
19.7654, 20.7042, 32.8353, 
19.8009, 20.7078, 32.5965, 
19.8369, 20.703, 32.3493, 
19.87, 20.6942, 32.1255, 
19.9039, 20.6809, 31.8994, 
19.9382, 20.6633, 31.6732, 
19.9732, 20.6564, 31.4599, 
20.012, 20.6613, 31.243, 
20.0433, -62, -62, 
20.0772, 20.6713, 31.0456, 
20.1117, -62, -62, 
20.1472, -62, -62, 
20.1836, -62, -62, 
20.2171, -62, -62, 
20.2513, 20.6727, 30.8546, 
20.286, 20.6263, 30.6466, 
20.3203, 20.5111, 30.4261, 
20.3565, 20.4361, 30.2404, 
20.3907, 20.3729, 30.0596, 
20.4244, 20.3166, 29.876, 
20.4592, 20.2572, 29.6901, 
20.495, -62, -62, 
20.5306, -62, -62, 
20.5631, -62, -62, 
20.5979, -62, -62, 
20.6326, -62, -62, 
20.6673, 20.2366, 29.5447, 
20.7035, 20.1574, 29.377, 
20.7368, 20.0185, 29.2022, 
20.773, 19.8276, 29.001, 
20.806, 19.6137, 28.8064, 
20.8483, 19.4067, 28.5871, 
20.877, 19.3047, 28.4552, 
20.9117, 19.1838, 28.2993, 
20.9448, 19.134, 28.1749, 
20.9807, 19.0799, 28.0425, 
21.015, 19.0287, 27.9192, 
21.0506, 19.0274, 27.8094, 
21.0836, 19.0261, 27.6975, 
21.1184, -62, -62, 
21.1539, -62, -62, 
21.1881, -62, -62, 
21.2256, -62, -62, 
21.2578, -62, -62, 
21.2949, -62, -62, 
21.3272, 19.0593, 27.6122, 
21.3613, 19.053, 27.5284, 
21.3993, 18.9529, 27.4014, 
21.4313, 18.7614, 27.2518, 
21.4666, 18.5834, 27.0652, 
21.5006, 18.406, 26.904, 
21.5359, 18.2395, 26.7287, 
21.5712, 18.1514, 26.5863, 
21.6046, 18.0694, 26.4549, 
21.639, 18.041, 26.3414, 
21.674, 18.0346, 26.2363, 
21.7099, 18.0269, 26.1306, 
21.7451, -62, -62, 
21.7775, -62, -62, 
21.8126, -62, -62, 
21.8472, -62, -62, 
21.8826, -62, -62, 
21.9212, 18.0777, 26.0383, 
21.9517, 18.0857, 25.9584, 
21.9879, 18.0475, 25.8655, 
22.0211, 17.9595, 25.7488, 
22.057, 17.8668, 25.6261, 
22.0917, 17.7795, 25.5107, 
22.1249, 17.7511, 25.4222, 
22.1594, 17.7216, 25.3321, 
22.193, 17.7346, 25.2602, 
22.2299, -62, -62, 
22.2655, -62, -62, 
22.2983, -62, -62, 
22.3339, -62, -62, 
22.3677, -62, -62, 
22.4016, -62, -62, 
22.4396, -62, -62, 
22.4732, -62, -62, 
22.5081, -62, -62, 
22.5423, -62, -62, 
22.5758, 17.7831, 25.2135, 
22.6146, -62, -62, 
22.6477, -62, -62, 
22.6811, -62, -62, 
22.7153, -16.4205, -23.9796, 
22.7532, -62, -62, 
22.7868, -62, -62, 
22.8196, -62, -62, 
22.8555, 6.29805, 14.6911, 
22.889, -4.53061, 4.8037, 
22.9237, 1.53159, -11.6137, 
22.9601, -62, -62, 
22.9933, -62, -62, 
23.0286, 2.96083, 13.2857, 
23.063, 3.97726, 14.5077, 
23.1006, 4.45696, 15.0245, 
23.1338, 4.6036, 15.1545, 
23.1667, 4.53019, 15.0165, 
23.2012, 4.28719, 14.6919, 
23.2376, 3.97314, 14.2555, 
23.2709, 3.67915, 13.8146, 
23.3074, 3.27475, 13.2675, 
23.3408, 2.92144, 12.7715, 
23.3747, 2.57881, 12.2744, 
23.4099, 2.17313, 11.7263, 
23.448, 1.73443, 11.1392, 
23.4811, 1.30605, 10.6005, 
23.5157, 0.911006, 10.0795, 
23.5506, 0.559634, 9.59249, 
23.5832, 0.261173, 9.17383, 
23.618, -0.0575574, 8.73098, 
23.6543, -0.389524, 8.27411, 
23.6893, -0.708282, 7.83937, 
23.7218, -1.06549, 7.39709, 
23.758, -1.4846, 6.89422, 
23.7945, -1.85163, 6.4304, 
23.8286, -2.19623, 6.01559, 
23.861, -2.51778, 5.6297, 
23.8961, -2.90462, 5.17257, 
23.9302, -3.27313, 4.73833, 
23.966, -3.65397, 4.29078, 
24.0007, -62, -62, 
24.0342, -62, -62, 
24.0686, -4.01339, 3.8695, 
24.104, -4.37654, 3.4449, 
24.1405, -4.74315, 3.0173, 
24.1752, -5.08569, 2.61869, 
24.2081, -5.44863, 2.21991, 
24.2443, -5.85019, 1.76936, 
24.2775, -6.17553, 1.39393, 
24.3119, -6.48366, 1.03685, 
24.3478, -6.79854, 0.672629, 
24.3815, -7.026, 0.387591, 
24.4162, -7.27097, 0.101324, 
24.4526, -7.5217, -0.191166, 
24.4863, -7.71297, -0.434134, 
24.522, -7.96415, -0.704758, 
24.5551, -8.17593, -0.950757, 
24.591, -8.40074, -1.21153, 
24.6245, -8.61723, -1.44323, 
24.66, -8.8067, -1.65622, 
24.6977, -9.00756, -1.87122, 
24.7292, -9.13788, -2.02791, 
24.7637, -9.27692, -2.19486, 
24.7975, -9.41576, -2.34264, 
24.8333, -9.56397, -2.47929, 
24.8695, -9.70254, -2.62754, 
24.902, -9.88368, -2.80116, 
24.9383, -10.0797, -2.98905, 
24.9714, -62, -62, 
25.0061, -10.2596, -3.16146, 
25.0454, -10.4556, -3.34924, 
25.0755, -10.5995, -3.48712, 
25.1109, -10.7634, -3.6441, 
25.1455, -10.9176, -3.79185, 
25.1807, -11.0295, -3.93411, 
25.2166, -11.1138, -4.04698, 
25.2487, -11.1832, -4.16961, 
25.2841, -62, 62, 
25.318, -62, 62, 
25.3534, -62, 62, 
25.3904, -62, 62, 
25.4225, -62, 62, 
25.4589, -62, 62, 
25.4923, -62, 62, 
25.5264, -62, -62, 
25.5638, -62, 62, 
25.5972, -62, 62, 
25.6305, -62, -62, 
25.667, -62, 62, 
25.7, -62, 62, 
25.7365, -62, -62, 
25.7706, -62, 62, 
25.8039, -62, 62, 
25.847, -62, 62, 
25.8737, -62, 62, 
25.9103, -62, 62, 
25.9459, -62, 62, 
25.9776, -62, 62, 
26.0125, -62, 62, 
26.0473, -62, 62, 
26.0834, -62, 62, 
26.1162, -62, 62, 
26.1517, -62, 62, 
26.1871, -62, 62, 
26.221, -62, 62, 
26.2564, -62, 62, 
26.2896, -62, 62, 
26.3247, -62, 62, 
26.359, -62, 62, 
26.3939, -62, 62, 
